,,,,ترانه هاي قديمي,,,,,
,,,,CD 1 (1 - 23),,,,,
,,,,29-1,ماه غلام رخ زيباي توست,مرضيه,شيدا,شيدا,اصفهان
,,,,29-2,ماه غلام رخ زيباي توست,زند وكيل,شيدا,شيدا,اصفهان
,,,,29-3,ماه غلام رخ زيباي توست,سيما بينا,شيدا,شيدا,اصفهان
,,,,29-4,ماه غلام رخ زيباي توست,علي رستميان,شيدا,شيدا,اصفهان
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,29-5,ماه غلام رخ زيباي توست,هايده - گلپا,شيدا,شيدا,اصفهان
,,,,29-6,ماه غلام رخ زيباي توست,محسن كرامتي,شيدا,شيدا,اصفهان
,,,,30-1,اي زلف سر كجت,پوران,شيدا,شيدا,ماهور
,,,,30-2,اي زلف سر كجت,سيما مافيها,شيدا,شيدا,ماهور
,,,,30-3,اي زلف سر كجت,زند وكيل,شيدا,شيدا,ماهور
,,,,30-4,اي زلف سر كجت,سيما بينا,شيدا,شيدا,ماهور
,,,,30-5,اي زلف سر كجت,هايده,شيدا,شيدا,ماهور
,,,,30-6,اي زلف سر كجت,شجريان,شيدا,شيدا,ماهور
,,,,30-7,اي زلف سر كجت,محسن كرامتي,شيدا,شيدا,ماهور
,,,,31-1,اي كه به پيش قامتت سرو چمن خجل شده,شجريان,شيدا,شيدا,ابوعطا
,,,,31-2,باشد از لعل تو يك بوسه,عبدالله دوامي,شيدا,شيدا,اصفهان
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,31-3,باشد از لعل تو يك بوسه,مرضيه,شيدا,شيدا,اصفهان
,,,,32-1,باشد از لعل تو يك بوسه,عبدالله دوامي,شيدا,شيدا,اصفهان
,,,,32-2,باشد از لعل تو يك بوسه,عبدالله دوامي,شيدا,شيدا,اصفهان
,,,,32-3,باشد از لعل تو يك بوسه,مرضيه,شيدا,شيدا,اصفهان
,,,,32-4,باشد از لعل تو يك بوسه,سيما بينا,شيدا,شيدا,اصفهان
,,,,32-5,باشد از لعل تو يك بوسه,پوران,شيدا,شيدا,اصفهان
,,,,32-6,باشد از لعل تو يك بوسه,سيما مافيها,شيدا,شيدا,اصفهان
,,,,32-7,باشد از لعل تو يك بوسه,محسن كرامتي,شيدا,شيدا,اصفهان
,,,,33-1,تو دوري از برم (دل شيدا),سيامك شجريان,شيدا,شيدا,مخالف سه گاه
,,,,33-2,تو دوري از برم,شجريان,شيدا,شيدا,مخالف سه گاه
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,33-3,تو دوري از برم,خاطره پروانه,شيدا,شيدا,مخالف سه گاه
,,,,33-4,تو دوري از برم (دل شيدا),سيما بينا,شيدا,شيدا,مخالف سه گاه
,,,,33-5,تو دوري از برم,شهلا سرشار,شيدا,شيدا,مخالف سه گاه
,,,,33-6,تو دوري از برم,سيامك شجريان,شيدا,شيدا,مخالف سه گاه
,,,,33-7,تو دوري از برم,محسن كرامتي,شيدا,شيدا,اصفهان
,,,,34-1,چشم بي سرمه، واي بي سرمه,مرضيه,شيدا,شيدا,شور
,,,,34-2,چشم بي سرمه، واي بي سرمه,پريسا,شيدا,شيدا,شور
,,,,34-3,چشم بي سرمه، واي بي سرمه,محسن كرامتي,شيدا,شيدا,شور
,,,,35-1,چين زلف مشكين را,پريسا,شيدا,شيدا,اصفهان
,,,,35-2,چين زلف مشكين را,محسن كرامتي,شيدا,شيدا,اصفهان
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,36-1,در غم عشق تو اي صنم,پروين - شهيدي,شيدا,شيدا,سه گاه
,,,,37-1,دوش، دوش، دوش كه آن مه لقا,جمال صفوي (ج.ص),شيدا,شيدا,افشاري
,,,,37-2,دوش، دوش، دوش كه آن مه لقا,مرضيه,شيدا,شيدا,افشاري
,,,,37-3,دوش، دوش، دوش كه آن مه لقا,شجريان,شيدا,شيدا,افشاري
,,,,37-4,دوش، دوش، دوش كه آن مه لقا,محسن كرامتي,شيدا,شيدا,افشاري
,,,,38-1,عشق تو آتش جانا,دوامي,شيدا,شيدا,ماهور
,,,,38-2,عشق تو آتش جانا,شهيدي,شيدا,شيدا,ماهور
,,,,38-3,عشق تو آتش جانا,خاطره پروانه,شيدا,شيدا,ماهور
,,,,38-4,عشق تو آتش جانا,شجريان,شيدا,شيدا,ماهور
,,,,38-5,عشق تو آتش جانا,شجريان,شيدا,شيدا,ماهور
,,,,38-6,عشق تو آتش جانا,افتخاري,شيدا,شيدا,ماهور
,,,,38-7,عشق تو آتش جانا,محسن كرامتي,شيدا,شيدا,ماهور
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,39-1,عقرب زلف كجت با قمر قرينه,سيما مافيها,شيدا,شيدا,همايون
,,,,39-2,عقرب زلف كجت با قمر قرينه,پوران,شيدا,شيدا,همايون
,,,,39-3,عقرب زلف كجت با قمر قرينه,پوران,شيدا,شيدا,همايون
,,,,39-4,عقرب زلف كجت با قمر قرينه,غزال,شيدا,شيدا,همايون
,,,,39-5,عقرب زلف كجت با قمر قرينه,ايرج بسطامي,شيدا,شيدا,همايون
,,,,39-6,عقرب زلف كجت با قمر قرينه,مهستي - ستار,شيدا,شيدا,همايون
,,,,39-7,عقرب زلف كجت با قمر قرينه,ستار,شيدا,شيدا,همايون
,,,,39-8,عقرب زلف كجت با قمر قرينه,مارتيك,شيدا,شيدا,همايون
,,,,39-9,عقرب زلف كجت با قمر قرينه,مختاباد,شيدا,شيدا,همايون
,,,,39-10,عقرب زلف كجت با قمر قرينه,كرامتي,شيدا,شيدا,همايون
,,,,39-11,عقرب زلف كجت با قمر قرينه,شيدا - جاهد,شيدا,شيدا,همايون
,,,,40-1,مولود نبي محبوب خداست (مولود نبي),خاطره پروانه,شيدا,شيدا,سه گاه
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,40-2,مولود نبي محبوب خداست,كرامتي,شيدا,شيدا,سه گاه
,,,,41-1,ناديده رخت,حسين طاهر زاده,شيدا,شيدا,اصفهان
,,,,41-2,ناديده رخت,پريسا,شيدا,شيدا,اصفهان
,,,,41-3,ناديده رخت,سيما مافيها,شيدا,شيدا,اصفهان
